time,enrolled,available,waitlisted,total
2023-10-02T16:42:51,0,50,0,50
2023-10-02T16:56:06,0,50,0,50
2023-10-02T17:09:10,0,50,0,50
2023-10-02T17:22:25,0,50,0,50
2023-10-02T17:35:28,0,50,0,50
2023-10-02T17:48:31,0,50,0,50
2023-10-02T18:01:45,0,50,0,50
2023-10-02T18:14:47,0,50,0,50
2023-10-02T18:27:50,0,50,0,50
2023-10-02T18:41:05,0,50,0,50
2023-10-02T18:54:07,0,50,0,50
2023-10-02T19:07:10,0,50,0,50
2023-10-02T19:20:13,0,50,0,50
2023-10-02T19:33:27,0,50,0,50
2023-10-02T19:46:29,0,50,0,50
2023-10-02T19:59:32,0,50,0,50
2023-10-02T20:12:36,0,50,0,50
2023-10-02T20:25:39,0,50,0,50
2023-10-02T20:38:52,0,50,0,50
2023-10-02T20:51:55,0,50,0,50
2023-10-02T21:04:58,0,50,0,50
2023-10-02T21:18:01,0,50,0,50
2023-10-02T21:31:15,0,50,0,50
2023-10-02T21:44:17,0,50,0,50
2023-10-02T21:57:20,0,50,0,50
2023-10-02T22:10:23,0,50,0,50
2023-10-02T22:23:25,0,50,0,50
2023-10-02T22:36:39,0,50,0,50
2023-10-02T22:49:42,0,50,0,50
2023-10-02T23:02:45,0,50,0,50
2023-10-02T23:15:49,0,50,0,50
2023-10-02T23:29:04,0,50,0,50
2023-10-02T23:42:07,0,50,0,50
2023-10-02T23:55:10,0,50,0,50
2023-10-03T00:08:15,0,50,0,50
2023-10-03T00:21:23,0,50,0,50
2023-10-03T00:34:30,0,50,0,50
2023-10-03T00:47:38,0,50,0,50
2023-10-03T01:00:59,0,50,0,50
2023-10-03T01:14:07,0,50,0,50
2023-10-03T01:27:13,0,50,0,50
2023-10-03T01:40:37,0,50,0,50
2023-10-03T01:53:46,0,50,0,50
2023-10-03T02:06:53,0,50,0,50
2023-10-03T02:20:00,0,50,0,50
2023-10-03T02:33:05,0,50,0,50
2023-10-03T02:46:09,0,50,0,50
2023-10-03T02:59:12,0,50,0,50
2023-10-03T03:12:17,0,50,0,50
2023-10-03T03:25:23,0,50,0,50
2023-10-03T03:38:29,0,50,0,50
2023-10-03T03:51:36,0,50,0,50
2023-10-03T04:04:42,0,50,0,50
2023-10-03T04:26:19,0,50,0,50
2023-10-03T04:40:43,0,50,0,50
2023-10-03T04:54:12,0,50,0,50
2023-10-03T05:07:21,0,50,0,50
2023-10-03T05:20:28,0,50,0,50
2023-10-03T05:33:37,0,50,0,50
2023-10-03T05:46:44,0,50,0,50
2023-10-03T05:59:51,0,50,0,50
2023-10-03T06:12:59,0,50,0,50
2023-10-03T06:26:05,0,50,0,50
2023-10-03T06:39:11,0,50,0,50
2023-10-03T06:52:18,0,50,0,50
2023-10-03T07:05:23,0,50,0,50
2023-10-03T07:18:32,0,50,0,50
2023-10-03T07:31:36,0,50,0,50
2023-10-03T07:44:39,0,50,0,50
2023-10-03T07:57:45,0,50,0,50
2023-10-03T08:11:13,0,50,0,50
2023-10-03T08:24:25,0,50,0,50
2023-10-03T08:37:35,0,50,0,50
2023-10-03T08:50:42,0,50,0,50
2023-10-03T09:03:50,0,50,0,50
2023-10-03T09:16:56,0,50,0,50
2023-10-03T09:30:13,0,50,0,50
2023-10-03T09:43:18,0,50,0,50
2023-10-03T09:56:22,0,50,0,50
2023-10-03T10:09:39,0,50,0,50
2023-10-03T10:22:47,0,50,0,50
2023-10-03T10:35:58,0,50,0,50
2023-10-03T10:49:18,0,50,0,50
2023-10-03T11:02:27,0,50,0,50
2023-10-03T11:15:33,0,50,0,50
2023-10-03T11:28:49,0,50,0,50
2023-10-03T11:41:54,0,50,0,50
2023-10-03T11:54:57,0,50,0,50
2023-10-03T12:08:12,0,50,0,50
2023-10-03T12:21:15,0,50,0,50
2023-10-03T12:34:17,0,50,0,50
2023-10-03T12:47:31,0,50,0,50
2023-10-03T13:00:33,0,50,0,50
2023-10-03T13:13:37,0,50,0,50
2023-10-03T13:26:51,0,50,0,50
2023-10-03T13:39:54,0,50,0,50
2023-10-03T13:52:58,0,50,0,50
2023-10-03T14:06:14,0,50,0,50
2023-10-03T14:19:18,0,50,0,50
2023-10-03T14:32:24,0,50,0,50
2023-10-03T14:45:49,0,50,0,50
2023-10-03T14:59:05,0,50,0,50
2023-10-03T15:12:21,0,50,0,50
2023-10-03T15:25:45,0,50,0,50
2023-10-03T15:38:49,0,50,0,50
2023-10-03T15:51:51,0,50,0,50
2023-10-03T16:05:06,0,50,0,50
2023-10-03T16:18:10,0,50,0,50
2023-10-03T16:31:33,0,50,0,50
2023-10-03T16:44:36,0,50,0,50
2023-10-03T16:57:38,0,50,0,50
2023-10-03T17:10:42,0,50,0,50
2023-10-03T17:23:57,0,50,0,50
2023-10-03T17:36:59,0,50,0,50
2023-10-03T17:50:03,0,50,0,50
2023-10-03T18:03:18,0,50,0,50
2023-10-03T18:16:21,0,50,0,50
2023-10-03T18:29:25,0,50,0,50
2023-10-03T18:42:51,1,49,0,50
2023-10-03T18:55:54,1,49,0,50
2023-10-03T19:09:00,1,49,0,50
2023-10-03T19:22:03,1,49,0,50
2023-10-03T19:35:06,1,49,0,50
2023-10-03T19:48:20,1,49,0,50
2023-10-03T20:01:23,1,49,0,50
2023-10-03T20:14:26,1,49,0,50
2023-10-03T20:27:40,1,49,0,50
2023-10-03T20:40:43,1,49,0,50
2023-10-03T20:53:46,1,49,0,50
2023-10-03T21:06:49,1,49,0,50
2023-10-03T21:20:03,1,49,0,50
2023-10-03T21:33:06,1,49,0,50
2023-10-03T21:46:08,1,49,0,50
2023-10-03T21:59:11,1,49,0,50
2023-10-03T22:12:15,1,49,0,50
2023-10-03T22:25:21,1,49,0,50
2023-10-03T22:38:36,1,49,0,50
2023-10-03T22:51:39,1,49,0,50
2023-10-03T23:04:42,1,49,0,50
2023-10-03T23:17:45,1,49,0,50
2023-10-03T23:30:50,1,49,0,50
2023-10-03T23:43:54,1,49,0,50
2023-10-03T23:57:07,1,49,0,50
2023-10-04T00:10:12,1,49,0,50
2023-10-04T00:23:20,1,49,0,50
2023-10-04T00:36:26,1,49,0,50
2023-10-04T00:49:34,1,49,0,50
2023-10-04T01:02:43,1,49,0,50
2023-10-04T01:15:51,1,49,0,50
2023-10-04T01:28:57,1,49,0,50
2023-10-04T01:42:14,1,49,0,50
2023-10-04T01:55:21,1,49,0,50
2023-10-04T02:08:28,1,49,0,50
2023-10-04T02:21:33,1,49,0,50
2023-10-04T02:34:37,1,49,0,50
2023-10-04T02:47:44,1,49,0,50
2023-10-04T03:00:52,1,49,0,50
2023-10-04T03:14:00,1,49,0,50
2023-10-04T03:27:08,1,49,0,50
2023-10-04T03:40:14,1,49,0,50
2023-10-04T03:53:20,1,49,0,50
2023-10-04T04:06:26,1,49,0,50
2023-10-04T04:31:46,1,49,0,50
2023-10-04T04:44:57,1,49,0,50
2023-10-04T04:58:08,1,49,0,50
2023-10-04T05:11:17,1,49,0,50
2023-10-04T05:24:25,1,49,0,50
2023-10-04T05:37:33,1,49,0,50
2023-10-04T05:50:41,1,49,0,50
2023-10-04T06:03:47,1,49,0,50
2023-10-04T06:16:52,1,49,0,50
2023-10-04T06:29:58,1,49,0,50
2023-10-04T06:43:06,1,49,0,50
2023-10-04T06:56:15,1,49,0,50
2023-10-04T07:09:24,1,49,0,50
2023-10-04T07:22:28,1,49,0,50
2023-10-04T07:35:32,1,49,0,50
2023-10-04T07:48:38,1,49,0,50
2023-10-04T08:01:54,1,49,0,50
2023-10-04T08:14:59,1,49,0,50
2023-10-04T08:28:05,1,49,0,50
2023-10-04T08:41:11,1,49,0,50
2023-10-04T08:54:15,1,49,0,50
2023-10-04T09:07:20,1,49,0,50
2023-10-04T09:20:24,1,49,0,50
2023-10-04T09:36:26,1,49,0,50
2023-10-04T09:49:22,1,49,0,50
2023-10-04T10:02:18,1,49,0,50
2023-10-04T10:15:14,1,49,0,50
2023-10-04T10:28:21,1,49,0,50
2023-10-04T10:41:18,1,49,0,50
2023-10-04T10:54:14,1,49,0,50
2023-10-04T11:07:22,1,49,0,50
2023-10-04T11:20:18,1,49,0,50
2023-10-04T11:33:14,1,49,0,50
2023-10-04T11:46:10,1,49,0,50
2023-10-04T11:59:16,1,49,0,50
2023-10-04T12:12:13,1,49,0,50
2023-10-04T12:25:09,1,49,0,50
2023-10-04T12:38:15,1,49,0,50
2023-10-04T12:51:10,1,49,0,50
2023-10-04T13:04:06,1,49,0,50
2023-10-04T13:17:02,1,49,0,50
2023-10-04T13:30:09,1,49,0,50
2023-10-04T13:43:05,1,49,0,50
2023-10-04T13:56:01,1,49,0,50
2023-10-04T14:09:07,1,49,0,50
2023-10-04T14:22:03,1,49,0,50
2023-10-04T14:34:58,1,49,0,50
2023-10-04T14:47:54,1,49,0,50
2023-10-04T15:01:02,1,49,0,50
2023-10-04T15:13:59,1,49,0,50
2023-10-04T15:26:57,1,49,0,50
2023-10-04T15:40:06,1,49,0,50
2023-10-04T15:53:03,1,49,0,50
2023-10-04T16:06:01,1,49,0,50
2023-10-04T16:19:01,1,49,0,50
2023-10-04T16:32:09,1,49,0,50
2023-10-04T16:45:06,1,49,0,50
2023-10-04T16:58:02,1,49,0,50
2023-10-04T17:11:10,1,49,0,50
2023-10-04T17:24:07,1,49,0,50
2023-10-04T17:37:03,1,49,0,50
2023-10-04T17:49:59,1,49,0,50
2023-10-04T18:03:08,1,49,0,50
2023-10-04T18:16:05,1,49,0,50
2023-10-04T18:29:02,1,49,0,50
2023-10-04T18:41:59,1,49,0,50
2023-10-04T18:54:54,1,49,0,50
2023-10-04T19:08:01,1,49,0,50
2023-10-04T19:20:57,1,49,0,50
2023-10-04T19:33:53,1,49,0,50
2023-10-04T19:46:49,1,49,0,50
2023-10-04T19:59:44,1,49,0,50
2023-10-04T20:12:51,1,49,0,50
2023-10-04T20:25:47,1,49,0,50
2023-10-04T20:38:43,1,49,0,50
2023-10-04T20:51:44,1,49,0,50
2023-10-04T21:04:40,1,49,0,50
2023-10-04T21:17:47,1,49,0,50
2023-10-04T21:30:44,1,49,0,50
2023-10-04T21:43:39,1,49,0,50
2023-10-04T21:56:36,1,49,0,50
2023-10-04T22:09:42,1,49,0,50
2023-10-04T22:22:38,1,49,0,50
2023-10-04T22:35:35,1,49,0,50
2023-10-04T22:48:31,1,49,0,50
2023-10-04T23:01:28,1,49,0,50
2023-10-04T23:14:25,1,49,0,50
2023-10-04T23:27:32,1,49,0,50
2023-10-04T23:40:30,1,49,0,50
2023-10-04T23:53:27,1,49,0,50
2023-10-05T00:06:24,1,49,0,50
2023-10-05T00:19:30,1,49,0,50
2023-10-05T00:32:29,1,49,0,50
2023-10-05T00:45:30,1,49,0,50
2023-10-05T00:58:32,1,49,0,50
2023-10-05T01:11:33,1,49,0,50
2023-10-05T01:24:45,1,49,0,50
2023-10-05T01:37:45,1,49,0,50
2023-10-05T01:50:46,1,49,0,50
2023-10-05T02:03:53,1,49,0,50
2023-10-05T02:16:52,1,49,0,50
2023-10-05T02:29:50,1,49,0,50
2023-10-05T02:42:48,1,49,0,50
2023-10-05T02:55:44,1,49,0,50
2023-10-05T03:08:41,1,49,0,50
2023-10-05T03:21:42,1,49,0,50
2023-10-05T03:34:43,1,49,0,50
2023-10-05T03:47:46,1,49,0,50
2023-10-05T04:00:48,1,49,0,50
2023-10-05T04:26:34,1,49,0,50
2023-10-05T04:41:05,1,49,0,50
2023-10-05T04:54:13,1,49,0,50
2023-10-05T05:07:21,1,49,0,50
2023-10-05T05:20:26,1,49,0,50
2023-10-05T05:33:25,1,49,0,50
2023-10-05T05:46:31,1,49,0,50
2023-10-05T06:00:08,1,49,0,50
2023-10-05T06:13:19,1,49,0,50
2023-10-05T06:26:27,1,49,0,50
2023-10-05T06:39:35,1,49,0,50
2023-10-05T06:52:43,1,49,0,50
2023-10-05T07:05:51,1,49,0,50
2023-10-05T07:19:03,1,49,0,50
2023-10-05T07:32:10,1,49,0,50
2023-10-05T07:45:17,1,49,0,50
2023-10-05T07:58:24,1,49,0,50
2023-10-05T08:11:30,1,49,0,50
2023-10-05T08:24:46,1,49,0,50
2023-10-05T08:37:53,1,49,0,50
2023-10-05T08:51:00,1,49,0,50
2023-10-05T09:04:05,1,49,0,50
2023-10-05T09:17:09,1,49,0,50
2023-10-05T09:30:14,1,49,0,50
2023-10-05T09:43:28,1,49,0,50
2023-10-05T09:56:32,1,49,0,50
2023-10-05T10:09:37,1,49,0,50
2023-10-05T10:22:43,1,49,0,50
2023-10-05T10:35:49,1,49,0,50
2023-10-05T10:49:04,1,49,0,50
2023-10-05T11:02:09,1,49,0,50
2023-10-05T11:15:15,1,49,0,50
2023-10-05T11:28:19,1,49,0,50
2023-10-05T11:41:34,1,49,0,50
2023-10-05T11:54:38,1,49,0,50
2023-10-05T12:07:43,1,49,0,50
2023-10-05T12:20:48,1,49,0,50
2023-10-05T12:34:03,1,49,0,50
2023-10-05T12:47:07,1,49,0,50
2023-10-05T13:00:12,1,49,0,50
2023-10-05T13:13:18,1,49,0,50
2023-10-05T13:26:33,1,49,0,50
2023-10-05T13:39:38,1,49,0,50
2023-10-05T13:52:43,1,49,0,50
2023-10-05T14:06:00,1,49,0,50
2023-10-05T14:19:05,1,49,0,50
2023-10-05T14:32:09,1,49,0,50
2023-10-05T14:45:26,1,49,0,50
2023-10-05T14:58:30,1,49,0,50
2023-10-05T15:11:35,1,49,0,50
2023-10-05T15:24:39,1,49,0,50
2023-10-05T15:37:55,1,49,0,50
2023-10-05T15:50:59,1,49,0,50
2023-10-05T16:04:03,1,49,0,50
2023-10-05T16:17:07,1,49,0,50
2023-10-05T16:30:22,1,49,0,50
2023-10-05T16:43:26,1,49,0,50
2023-10-05T16:56:41,1,49,0,50
2023-10-05T17:09:48,1,49,0,50
2023-10-05T17:22:53,1,49,0,50
2023-10-05T17:35:57,1,49,0,50
2023-10-05T17:49:11,1,49,0,50
2023-10-05T18:02:15,1,49,0,50
2023-10-05T18:15:19,1,49,0,50
2023-10-05T18:28:23,1,49,0,50
2023-10-05T18:41:27,1,49,0,50
2023-10-05T18:54:31,1,49,0,50
2023-10-05T19:07:46,1,49,0,50
2023-10-05T19:20:49,1,49,0,50
2023-10-05T19:33:58,1,49,0,50
2023-10-05T19:47:02,1,49,0,50
2023-10-05T20:00:07,1,49,0,50
2023-10-05T20:13:22,1,49,0,50
2023-10-05T20:26:26,1,49,0,50
2023-10-05T20:39:30,1,49,0,50
2023-10-05T20:52:35,1,49,0,50
2023-10-05T21:05:39,1,49,0,50
2023-10-05T21:18:44,1,49,0,50
2023-10-05T21:31:48,1,49,0,50
2023-10-05T21:45:03,1,49,0,50
2023-10-05T21:58:07,1,49,0,50
2023-10-05T22:11:11,1,49,0,50
2023-10-05T22:24:14,1,49,0,50
2023-10-05T22:37:19,1,49,0,50
2023-10-05T22:50:25,1,49,0,50
2023-10-05T23:03:40,1,49,0,50
2023-10-05T23:16:46,1,49,0,50
2023-10-05T23:29:51,1,49,0,50
2023-10-05T23:42:56,1,49,0,50
2023-10-05T23:56:01,1,49,0,50
2023-10-06T00:09:08,1,49,0,50
2023-10-06T00:22:19,1,49,0,50
2023-10-06T00:35:38,1,49,0,50
2023-10-06T00:48:48,1,49,0,50
2023-10-06T01:01:58,1,49,0,50
2023-10-06T01:15:07,1,49,0,50
2023-10-06T01:28:17,1,49,0,50
2023-10-06T01:41:36,1,49,0,50
2023-10-06T01:54:47,1,49,0,50
2023-10-06T02:08:00,1,49,0,50
2023-10-06T02:21:09,1,49,0,50
2023-10-06T02:34:16,1,49,0,50
2023-10-06T02:47:23,1,49,0,50
2023-10-06T03:00:33,1,49,0,50
2023-10-06T03:13:54,1,49,0,50
2023-10-06T03:27:04,1,49,0,50
2023-10-06T03:40:14,1,49,0,50
2023-10-06T03:53:23,1,49,0,50
2023-10-06T04:06:32,1,49,0,50
2023-10-06T04:36:36,1,49,0,50
2023-10-06T04:50:08,1,49,0,50
2023-10-06T05:03:19,1,49,0,50
2023-10-06T05:16:30,1,49,0,50
2023-10-06T05:29:41,1,49,0,50
2023-10-06T05:42:51,1,49,0,50
2023-10-06T05:56:01,1,49,0,50
2023-10-06T06:09:09,1,49,0,50
2023-10-06T06:22:18,1,49,0,50
2023-10-06T06:35:26,1,49,0,50
2023-10-06T06:48:36,1,49,0,50
2023-10-06T07:01:43,1,49,0,50
2023-10-06T07:14:56,1,49,0,50
2023-10-06T07:28:04,1,49,0,50
2023-10-06T07:41:11,1,49,0,50
2023-10-06T07:54:27,1,49,0,50
2023-10-06T08:07:32,1,49,0,50
2023-10-06T08:20:36,1,49,0,50
2023-10-06T08:33:46,1,49,0,50
2023-10-06T08:46:51,1,49,0,50
2023-10-06T08:59:58,1,49,0,50
2023-10-06T09:13:02,1,49,0,50
2023-10-06T09:26:19,1,49,0,50
2023-10-06T09:39:24,1,49,0,50
2023-10-06T09:52:29,1,49,0,50
2023-10-06T10:05:33,1,49,0,50
2023-10-06T10:18:37,1,49,0,50
2023-10-06T10:32:08,1,49,0,50
2023-10-06T10:45:12,1,49,0,50
2023-10-06T10:58:18,1,49,0,50
2023-10-06T11:11:26,1,49,0,50
2023-10-06T11:24:32,1,49,0,50
2023-10-06T11:37:48,1,49,0,50
2023-10-06T11:50:53,1,49,0,50
2023-10-06T12:03:59,1,49,0,50
2023-10-06T12:17:03,1,49,0,50
2023-10-06T12:30:27,1,49,0,50
2023-10-06T12:43:31,1,49,0,50
2023-10-06T12:56:36,1,49,0,50
2023-10-06T13:09:41,1,49,0,50
2023-10-06T13:22:56,1,49,0,50
2023-10-06T13:36:00,1,49,0,50
2023-10-06T13:49:05,1,49,0,50
2023-10-06T14:02:11,1,49,0,50
2023-10-06T14:15:16,1,49,0,50
2023-10-06T14:28:48,1,49,0,50
2023-10-06T14:41:53,1,49,0,50
2023-10-06T14:54:57,1,49,0,50
2023-10-06T15:08:01,1,49,0,50
2023-10-06T15:21:05,1,49,0,50
2023-10-06T15:34:18,1,49,0,50
2023-10-06T15:47:23,1,49,0,50
2023-10-06T16:00:27,1,49,0,50
2023-10-06T16:13:33,1,49,0,50
2023-10-06T16:26:37,1,49,0,50
2023-10-06T16:40:05,1,49,0,50
2023-10-06T16:53:09,1,49,0,50
2023-10-06T17:06:13,1,49,0,50
2023-10-06T17:19:20,1,49,0,50
2023-10-06T17:32:24,1,49,0,50
2023-10-06T17:45:29,1,49,0,50
2023-10-06T17:58:33,1,49,0,50
2023-10-06T18:11:58,1,49,0,50
2023-10-06T18:25:02,1,49,0,50
2023-10-06T18:38:07,1,49,0,50
2023-10-06T18:51:12,1,49,0,50
2023-10-06T19:04:18,1,49,0,50
2023-10-06T19:17:23,1,49,0,50
2023-10-06T19:30:28,1,49,0,50
2023-10-06T19:43:33,1,49,0,50
2023-10-06T19:56:48,1,49,0,50
2023-10-06T20:09:53,1,49,0,50
2023-10-06T20:22:58,1,49,0,50
2023-10-06T20:36:03,1,49,0,50
2023-10-06T20:49:08,1,49,0,50
2023-10-06T21:02:13,1,49,0,50
2023-10-06T21:15:18,1,49,0,50
2023-10-06T21:28:23,1,49,0,50
2023-10-06T21:41:28,1,49,0,50
2023-10-06T21:54:53,1,49,0,50
2023-10-06T22:07:57,1,49,0,50
2023-10-06T22:21:01,1,49,0,50
2023-10-06T22:34:07,1,49,0,50
2023-10-06T22:47:12,1,49,0,50
2023-10-06T23:00:18,1,49,0,50
2023-10-06T23:13:24,1,49,0,50
2023-10-06T23:26:33,1,49,0,50
2023-10-06T23:39:40,1,49,0,50
2023-10-06T23:52:47,1,49,0,50
2023-10-07T00:06:06,1,49,0,50
2023-10-07T00:19:22,1,49,0,50
2023-10-07T00:32:31,1,49,0,50
2023-10-07T00:45:39,1,49,0,50
2023-10-07T00:59:03,1,49,0,50
2023-10-07T01:12:12,1,49,0,50
2023-10-07T01:25:22,1,49,0,50
2023-10-07T01:38:33,1,49,0,50
2023-10-07T01:51:43,1,49,0,50
2023-10-07T02:04:55,1,49,0,50
2023-10-07T02:18:05,1,49,0,50
2023-10-07T02:31:16,1,49,0,50
2023-10-07T02:44:26,1,49,0,50
2023-10-07T02:57:47,1,49,0,50
2023-10-07T03:11:46,1,49,0,50
2023-10-07T03:24:56,1,49,0,50
2023-10-07T03:38:08,1,49,0,50
2023-10-07T03:51:18,1,49,0,50
2023-10-07T04:04:30,1,49,0,50
2023-10-07T04:27:29,1,49,0,50
2023-10-07T04:40:42,1,49,0,50
2023-10-07T04:53:51,1,49,0,50
2023-10-07T05:07:00,1,49,0,50
2023-10-07T05:21:33,1,49,0,50
2023-10-07T05:35:04,1,49,0,50
2023-10-07T05:48:15,1,49,0,50
2023-10-07T06:01:25,1,49,0,50
2023-10-07T06:14:36,1,49,0,50
2023-10-07T06:27:45,1,49,0,50
2023-10-07T06:40:55,1,49,0,50
2023-10-07T06:54:04,1,49,0,50
2023-10-07T07:07:14,1,49,0,50
2023-10-07T07:20:31,1,49,0,50
2023-10-07T07:33:38,1,49,0,50
2023-10-07T07:46:44,1,49,0,50
2023-10-07T07:59:52,1,49,0,50
2023-10-07T08:13:00,1,49,0,50
2023-10-07T08:26:09,1,49,0,50
2023-10-07T08:39:17,1,49,0,50
2023-10-07T08:52:24,1,49,0,50
2023-10-07T09:05:31,1,49,0,50
2023-10-07T09:18:38,1,49,0,50
2023-10-07T09:31:46,1,49,0,50
2023-10-07T09:44:52,1,49,0,50
2023-10-07T09:57:59,1,49,0,50
2023-10-07T10:11:04,1,49,0,50
2023-10-07T10:24:10,1,49,0,50
2023-10-07T10:37:27,1,49,0,50
2023-10-07T10:50:32,1,49,0,50
2023-10-07T11:03:37,1,49,0,50
2023-10-07T11:16:41,1,49,0,50
2023-10-07T11:29:45,1,49,0,50
2023-10-07T11:42:49,1,49,0,50
2023-10-07T11:55:53,1,49,0,50
2023-10-07T12:08:58,1,49,0,50
2023-10-07T12:22:03,1,49,0,50
2023-10-07T12:35:07,1,49,0,50
2023-10-07T12:48:11,1,49,0,50
2023-10-07T13:01:17,1,49,0,50
2023-10-07T13:14:34,1,49,0,50
2023-10-07T13:27:38,1,49,0,50
2023-10-07T13:40:43,1,49,0,50
2023-10-07T13:53:48,1,49,0,50
2023-10-07T14:06:52,1,49,0,50
2023-10-07T14:19:56,1,49,0,50
2023-10-07T14:33:01,1,49,0,50
2023-10-07T14:46:06,1,49,0,50
2023-10-07T14:59:11,1,49,0,50
2023-10-07T15:12:15,1,49,0,50
2023-10-07T15:25:19,1,49,0,50
2023-10-07T15:38:23,1,49,0,50
2023-10-07T15:51:38,1,49,0,50
2023-10-07T16:04:43,1,49,0,50
2023-10-07T16:17:47,1,49,0,50
2023-10-07T16:30:52,1,49,0,50
2023-10-07T16:43:57,1,49,0,50
2023-10-07T16:57:01,1,49,0,50
2023-10-07T17:10:07,1,49,0,50
2023-10-07T17:23:12,1,49,0,50
2023-10-07T17:36:17,1,49,0,50
2023-10-07T17:49:22,1,49,0,50
2023-10-07T18:02:27,1,49,0,50
2023-10-07T18:15:42,1,49,0,50
2023-10-07T18:28:47,1,49,0,50
2023-10-07T18:41:53,1,49,0,50
2023-10-07T18:55:02,1,49,0,50
2023-10-07T19:08:07,1,49,0,50
2023-10-07T19:21:12,1,49,0,50
2023-10-07T19:34:17,1,49,0,50
2023-10-07T19:47:21,1,49,0,50
2023-10-07T20:00:26,1,49,0,50
2023-10-07T20:13:30,1,49,0,50
2023-10-07T20:26:36,1,49,0,50
2023-10-07T20:39:41,1,49,0,50
2023-10-07T20:52:46,1,49,0,50
2023-10-07T21:05:58,1,49,0,50
2023-10-07T21:19:02,1,49,0,50
2023-10-07T21:32:08,1,49,0,50
2023-10-07T21:45:14,1,49,0,50
2023-10-07T21:58:19,1,49,0,50
2023-10-07T22:11:24,1,49,0,50
2023-10-07T22:24:29,1,49,0,50
2023-10-07T22:37:37,1,49,0,50
2023-10-07T22:50:42,1,49,0,50
2023-10-07T23:03:48,1,49,0,50
2023-10-07T23:16:54,1,49,0,50
2023-10-07T23:29:59,1,49,0,50
2023-10-07T23:43:04,1,49,0,50
2023-10-07T23:56:09,1,49,0,50
2023-10-08T00:09:15,1,49,0,50
2023-10-08T00:22:40,1,49,0,50
2023-10-08T00:35:47,1,49,0,50
2023-10-08T00:48:53,1,49,0,50
2023-10-08T01:01:58,1,49,0,50
2023-10-08T01:15:03,1,49,0,50
2023-10-08T01:28:09,1,49,0,50
2023-10-08T01:41:13,1,49,0,50
2023-10-08T01:54:18,1,49,0,50
2023-10-08T02:07:25,1,49,0,50
2023-10-08T02:20:29,1,49,0,50
2023-10-08T02:33:34,1,49,0,50
2023-10-08T02:46:39,1,49,0,50
2023-10-08T02:59:47,1,49,0,50
2023-10-08T03:13:03,1,49,0,50
2023-10-08T03:26:15,1,49,0,50
2023-10-08T03:39:26,1,49,0,50
2023-10-08T03:52:36,1,49,0,50
2023-10-08T04:05:49,1,49,0,50
2023-10-08T04:24:57,1,49,0,50
2023-10-08T04:39:15,1,49,0,50
2023-10-08T04:52:29,1,49,0,50
2023-10-08T05:05:43,1,49,0,50
2023-10-08T05:18:53,1,49,0,50
2023-10-08T05:32:03,1,49,0,50
2023-10-08T05:45:13,1,49,0,50
2023-10-08T05:58:22,1,49,0,50
2023-10-08T06:11:32,1,49,0,50
2023-10-08T06:24:43,1,49,0,50
2023-10-08T06:37:52,1,49,0,50
2023-10-08T06:51:00,1,49,0,50
2023-10-08T07:04:07,1,49,0,50
2023-10-08T07:17:15,1,49,0,50
2023-10-08T07:30:23,1,49,0,50
2023-10-08T07:43:31,1,49,0,50
2023-10-08T07:56:38,1,49,0,50
2023-10-08T08:09:46,1,49,0,50
